cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
covonly,Canada,stefan_soil_cci,shuffle,10.0,catboost_lo,1.0,36.952666666666666,-14.034,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,mlp,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,mlp,0.25,29.159333333333336,-3.6799999999999997,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,mlp,0.5,30.567666666666668,-6.780666666666666,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,mlp,0.75,32.89533333333333,-9.881666666666666,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,mlp,1.0,35.96333333333333,-12.983333333333334,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,ridge,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,ridge,0.25,28.677999999999997,-3.187666666666667,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,ridge,0.5,29.473666666666663,-5.7956666666666665,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,ridge,0.75,31.120666666666665,-8.404000000000002,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,ridge,1.0,33.49466666666667,-11.012333333333332,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,catboost_lo,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,catboost_lo,0.25,28.971,-2.779,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,catboost_lo,0.5,29.613333333333333,-4.978333333333333,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,catboost_lo,0.75,30.701333333333334,-7.178333333333334,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,catboost_lo,1.0,32.18966666666667,-9.377666666666666,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,mlp,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,mlp,0.25,28.673999999999996,-2.706,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,mlp,0.5,29.04433333333333,-4.832999999999999,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,mlp,0.75,29.897666666666666,-6.960000000000001,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,mlp,1.0,31.194,-9.086666666666668,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,ridge,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,ridge,0.25,28.28,-2.344,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,ridge,0.5,28.185000000000002,-4.108,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,ridge,0.75,28.524,-5.872,370,1,3
covonly,Canada,stefan_soil_cci,stefan,10.0,ridge,1.0,29.281666666666666,-7.636666666666667,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,catboost_lo,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,catboost_lo,0.25,29.037000000000003,-3.3473333333333333,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,catboost_lo,0.5,29.839,-6.116666666666667,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,catboost_lo,0.75,31.167333333333332,-8.885,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,catboost_lo,1.0,32.958,-11.653333333333334,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,mlp,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,mlp,0.25,28.807999999999996,-3.4130000000000003,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,mlp,0.5,29.453999999999997,-6.247,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,mlp,0.75,30.70266666666667,-9.080666666666668,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,mlp,1.0,32.48466666666667,-11.914666666666667,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,ridge,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,ridge,0.25,28.363,-3.013,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,ridge,0.5,28.468,-5.447666666666667,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,ridge,0.75,29.115,-7.882000000000001,370,1,3
covonly,Canada,stefan_soil_cci,tddlin,10.0,ridge,1.0,30.26833333333333,-10.316,370,1,3
covonly,Lena,cci_cal,cci,10.0,catboost_lo,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,cci,10.0,catboost_lo,0.25,14.919666666666666,2.7863333333333333,1496,1,3
covonly,Lena,cci_cal,cci,10.0,catboost_lo,0.5,14.818666666666667,-0.04399999999999999,1496,1,3
covonly,Lena,cci_cal,cci,10.0,catboost_lo,0.75,15.265333333333333,-2.874333333333333,1496,1,3
covonly,Lena,cci_cal,cci,10.0,catboost_lo,1.0,16.215666666666667,-5.704666666666667,1496,1,3
covonly,Lena,cci_cal,cci,10.0,mlp,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,cci,10.0,mlp,0.25,14.773000000000001,2.4280000000000004,1496,1,3
covonly,Lena,cci_cal,cci,10.0,mlp,0.5,14.665666666666667,-0.7610000000000001,1496,1,3
covonly,Lena,cci_cal,cci,10.0,mlp,0.75,15.250666666666667,-3.9499999999999997,1496,1,3
covonly,Lena,cci_cal,cci,10.0,mlp,1.0,16.455333333333332,-7.139,1496,1,3
covonly,Lena,cci_cal,cci,10.0,ridge,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,cci,10.0,ridge,0.25,14.932,2.970666666666667,1496,1,3
covonly,Lena,cci_cal,cci,10.0,ridge,0.5,14.783,0.32433333333333336,1496,1,3
covonly,Lena,cci_cal,cci,10.0,ridge,0.75,15.124666666666668,-2.3223333333333334,1496,1,3
covonly,Lena,cci_cal,cci,10.0,ridge,1.0,15.926666666666668,-4.968666666666667,1496,1,3
covonly,Lena,cci_cal,const,10.0,catboost_lo,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,const,10.0,catboost_lo,0.25,16.055333333333333,6.933333333333334,1496,1,3
covonly,Lena,cci_cal,const,10.0,catboost_lo,0.5,16.645,8.249333333333333,1496,1,3
covonly,Lena,cci_cal,const,10.0,catboost_lo,0.75,17.31866666666667,9.565666666666667,1496,1,3
covonly,Lena,cci_cal,const,10.0,catboost_lo,1.0,18.066666666666666,10.882,1496,1,3
covonly,Lena,cci_cal,const,10.0,mlp,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,const,10.0,mlp,0.25,16.090333333333334,7.031666666666666,1496,1,3
covonly,Lena,cci_cal,const,10.0,mlp,0.5,16.732,8.447000000000001,1496,1,3
covonly,Lena,cci_cal,const,10.0,mlp,0.75,17.471333333333334,9.862,1496,1,3
covonly,Lena,cci_cal,const,10.0,mlp,1.0,18.296333333333333,11.277333333333333,1496,1,3
covonly,Lena,cci_cal,const,10.0,ridge,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,const,10.0,ridge,0.25,16.202,7.214333333333333,1496,1,3
covonly,Lena,cci_cal,const,10.0,ridge,0.5,16.977999999999998,8.812,1496,1,3
covonly,Lena,cci_cal,const,10.0,ridge,0.75,17.869333333333334,10.409333333333334,1496,1,3
covonly,Lena,cci_cal,const,10.0,ridge,1.0,18.86,12.007,1496,1,3
covonly,Lena,cci_cal,none,0.0,catboost_lo,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,none,0.0,catboost_lo,0.25,16.112666666666666,6.8406666666666665,1496,1,3
covonly,Lena,cci_cal,none,0.0,catboost_lo,0.5,16.763333333333332,8.064666666666666,1496,1,3
covonly,Lena,cci_cal,none,0.0,catboost_lo,0.75,17.500333333333334,9.288666666666666,1496,1,3
covonly,Lena,cci_cal,none,0.0,catboost_lo,1.0,18.312,10.512666666666666,1496,1,3
covonly,Lena,cci_cal,none,0.0,mlp,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,none,0.0,mlp,0.25,15.481,5.732333333333333,1496,1,3
covonly,Lena,cci_cal,none,0.0,mlp,0.5,15.540333333333331,5.848333333333334,1496,1,3
