setting,region,seed,lam,n,family,anchor,resid,pseudo,r,rmse_cm,bias_cm,ci_lo,ci_hi,error
pseudo,Lena,1,0.0,1518,model,stefan,mlp,stefan,1.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,mlp,stefan,1.0,18.492,11.635,16.020892152644475,25.86008122910896,
pseudo,Lena,1,0.5,1518,model,stefan,mlp,stefan,1.0,18.436,11.565,15.959265846302465,25.849021071622893,
pseudo,Lena,1,0.75,1518,model,stefan,mlp,stefan,1.0,18.382,11.495,15.899504879622674,25.83875582047255,
pseudo,Lena,1,1.0,1518,model,stefan,mlp,stefan,1.0,18.329,11.425,15.841994278918921,25.829286184978745,
pseudo,Lena,2,0.0,1518,model,stefan,mlp,stefan,1.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,mlp,stefan,1.0,18.526,11.668,16.23532056249675,25.4356656300552,
pseudo,Lena,2,0.5,1518,model,stefan,mlp,stefan,1.0,18.506,11.631,16.19279207580676,25.45200410802358,
pseudo,Lena,2,0.75,1518,model,stefan,mlp,stefan,1.0,18.486,11.594,16.150066347591288,25.46890931566839,
pseudo,Lena,2,1.0,1518,model,stefan,mlp,stefan,1.0,18.467,11.557,16.10828815842374,25.486379826193616,
pseudo,Lena,0,0.0,1518,model,stefan,mlp,cci,5.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,mlp,cci,5.0,16.001,6.954,13.82971465341416,26.564299524483157,
pseudo,Lena,0,0.5,1518,model,stefan,mlp,cci,5.0,14.649,2.203,12.289666554437128,27.885028341716264,
pseudo,Lena,0,0.75,1518,model,stefan,mlp,cci,5.0,14.824,-2.549,11.744150412932687,30.14816818294414,
pseudo,Lena,0,1.0,1518,model,stefan,mlp,cci,5.0,16.476,-7.3,12.87649664166439,33.13112588134696,
pseudo,Lena,1,0.0,1518,model,stefan,mlp,cci,5.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,mlp,cci,5.0,15.956,6.843,13.756457654033934,24.86284751627553,
pseudo,Lena,1,0.5,1518,model,stefan,mlp,cci,5.0,14.619,1.981,12.176646647552037,25.75018352876995,
pseudo,Lena,1,0.75,1518,model,stefan,mlp,cci,5.0,14.878,-2.88,11.398650351819722,27.939047134536654,
pseudo,Lena,1,1.0,1518,model,stefan,mlp,cci,5.0,16.66,-7.742,12.236436913327685,30.997854843217368,
pseudo,Lena,2,0.0,1518,model,stefan,mlp,cci,5.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,mlp,cci,5.0,15.969,6.864,13.891645321382864,24.224837856493128,
pseudo,Lena,2,0.5,1518,model,stefan,mlp,cci,5.0,14.628,2.022,12.368349281879006,25.554750941913117,
pseudo,Lena,2,0.75,1518,model,stefan,mlp,cci,5.0,14.864,-2.82,11.468087217019946,27.74866181942108,
pseudo,Lena,2,1.0,1518,model,stefan,mlp,cci,5.0,16.609,-7.661,12.626059357076553,30.61759632061123,
pseudo,Lena,0,0.0,1518,model,stefan,mlp,stefan_cci,10.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,mlp,stefan_cci,10.0,17.147,9.322,14.94442333277241,26.44678580445662,
pseudo,Lena,0,0.5,1518,model,stefan,mlp,stefan_cci,10.0,15.992,6.938,13.769343932713864,26.534568828878484,
pseudo,Lena,0,0.75,1518,model,stefan,mlp,stefan_cci,10.0,15.138,4.555,12.824146731119091,27.049956042001046,
pseudo,Lena,0,1.0,1518,model,stefan,mlp,stefan_cci,10.0,14.639,2.172,12.260523932659085,27.82646047950504,
pseudo,Lena,1,0.0,1518,model,stefan,mlp,stefan_cci,10.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,mlp,stefan_cci,10.0,17.104,9.232,14.77919961941999,25.320275297440258,
pseudo,Lena,1,0.5,1518,model,stefan,mlp,stefan_cci,10.0,15.924,6.759,13.708347824812147,24.893247716469684,
pseudo,Lena,1,0.75,1518,model,stefan,mlp,stefan_cci,10.0,15.07,4.286,12.859397008685395,25.101247183482325,
pseudo,Lena,1,1.0,1518,model,stefan,mlp,stefan_cci,10.0,14.6,1.813,12.14725025677438,25.825110487783302,
pseudo,Lena,2,0.0,1518,model,stefan,mlp,stefan_cci,10.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,mlp,stefan_cci,10.0,17.142,9.272,14.981368147646716,24.33000864812425,
pseudo,Lena,2,0.5,1518,model,stefan,mlp,stefan_cci,10.0,15.993,6.84,13.913845389027593,24.245626365433626,
pseudo,Lena,2,0.75,1518,model,stefan,mlp,stefan_cci,10.0,15.16,4.407,13.060993630462258,24.81973117351219,
pseudo,Lena,2,1.0,1518,model,stefan,mlp,stefan_cci,10.0,14.696,1.974,12.441810958620001,25.64741926370208,
pseudo,Lena,0,0.0,1518,model,cci,ridge,cci,1.0,16.485,-7.016,,,
pseudo,Lena,0,0.25,1518,model,cci,ridge,cci,1.0,16.144,-5.965,,,
pseudo,Lena,0,0.5,1518,model,cci,ridge,cci,1.0,15.916,-4.914,,,
pseudo,Lena,0,0.75,1518,model,cci,ridge,cci,1.0,15.805,-3.863,,,
pseudo,Lena,0,1.0,1518,model,cci,ridge,cci,1.0,15.814,-2.811,,,
pseudo,Lena,1,0.0,1518,model,cci,ridge,cci,1.0,16.485,-7.016,,,
pseudo,Lena,1,0.25,1518,model,cci,ridge,cci,1.0,16.142,-5.969,,,
pseudo,Lena,1,0.5,1518,model,cci,ridge,cci,1.0,15.91,-4.923,,,
pseudo,Lena,1,0.75,1518,model,cci,ridge,cci,1.0,15.794,-3.876,,,
pseudo,Lena,1,1.0,1518,model,cci,ridge,cci,1.0,15.797,-2.83,,,
pseudo,Lena,2,0.0,1518,model,cci,ridge,cci,1.0,16.485,-7.016,,,
pseudo,Lena,2,0.25,1518,model,cci,ridge,cci,1.0,16.159,-6.029,,,
pseudo,Lena,2,0.5,1518,model,cci,ridge,cci,1.0,15.937,-5.042,,,
pseudo,Lena,2,0.75,1518,model,cci,ridge,cci,1.0,15.823,-4.054,,,
pseudo,Lena,2,1.0,1518,model,cci,ridge,cci,1.0,15.82,-3.067,,,
pseudo,Lena,0,0.0,1518,model,cci,ridge,stefan_cci,5.0,16.485,-7.016,,,
pseudo,Lena,0,0.25,1518,model,cci,ridge,stefan_cci,5.0,15.446,-4.319,,,
pseudo,Lena,0,0.5,1518,model,cci,ridge,stefan_cci,5.0,14.842,-1.622,,,
pseudo,Lena,0,0.75,1518,model,cci,ridge,stefan_cci,5.0,14.726,1.075,,,
pseudo,Lena,0,1.0,1518,model,cci,ridge,stefan_cci,5.0,15.108,3.773,,,
pseudo,Lena,1,0.0,1518,model,cci,ridge,stefan_cci,5.0,16.485,-7.016,,,
pseudo,Lena,1,0.25,1518,model,cci,ridge,stefan_cci,5.0,15.445,-4.316,,,
pseudo,Lena,1,0.5,1518,model,cci,ridge,stefan_cci,5.0,14.84,-1.616,,,
pseudo,Lena,1,0.75,1518,model,cci,ridge,stefan_cci,5.0,14.724,1.084,,,
pseudo,Lena,1,1.0,1518,model,cci,ridge,stefan_cci,5.0,15.108,3.784,,,
pseudo,Lena,2,0.0,1518,model,cci,ridge,stefan_cci,5.0,16.485,-7.016,,,
pseudo,Lena,2,0.25,1518,model,cci,ridge,stefan_cci,5.0,15.445,-4.308,,,
pseudo,Lena,2,0.5,1518,model,cci,ridge,stefan_cci,5.0,14.842,-1.601,,,
pseudo,Lena,2,0.75,1518,model,cci,ridge,stefan_cci,5.0,14.731,1.107,,,
pseudo,Lena,2,1.0,1518,model,cci,ridge,stefan_cci,5.0,15.122,3.814,,,
pseudo,Lena,0,0.0,1518,model,cci,ridge,const,10.0,16.485,-7.016,,,
pseudo,Lena,0,0.25,1518,model,cci,ridge,const,10.0,15.343,-4.331,,,
pseudo,Lena,0,0.5,1518,model,cci,ridge,const,10.0,14.645,-1.646,,,
pseudo,Lena,0,0.75,1518,model,cci,ridge,const,10.0,14.453,1.039,,,
pseudo,Lena,0,1.0,1518,model,cci,ridge,const,10.0,14.788,3.724,,,
pseudo,Lena,1,0.0,1518,model,cci,ridge,const,10.0,16.485,-7.016,,,
pseudo,Lena,1,0.25,1518,model,cci,ridge,const,10.0,15.343,-4.334,,,
pseudo,Lena,1,0.5,1518,model,cci,ridge,const,10.0,14.643,-1.652,,,
