proto,target,family,anchor,pseudo,resid,r,lam,rmse,bias,sd,n,nseed,name
half,Canada,anchored,stefan,stefan,mlp,10.0,1.0,217.2825,1.8339999999999996,262.68380524977175,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · Stefan 증강(r=10)
half,Canada,anchored,stefan,stefan,ridge,0.5,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,ridge,0.5,0.25,31.189666666666668,-8.040666666666667,0.0015275252316527474,371,3,Stefan 앵커 + 선형 잔차(λ=0.25) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,ridge,0.5,0.5,31.108666666666664,-7.575,0.0015275252316527474,371,3,Stefan 앵커 + 선형 잔차(λ=0.5) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,ridge,0.5,0.75,31.045666666666666,-7.109333333333333,0.0015275252316536197,371,3,Stefan 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,ridge,0.5,1.0,31.00133333333333,-6.643666666666667,0.0011547005383780989,371,3,Stefan 앵커 + 선형 잔차(λ=1) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,ridge,1.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,ridge,1.0,0.25,31.214,-8.191666666666668,0.0010000000000012221,371,3,Stefan 앵커 + 선형 잔차(λ=0.25) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,ridge,1.0,0.5,31.150666666666666,-7.877,0.0015275252316506154,371,3,Stefan 앵커 + 선형 잔차(λ=0.5) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,ridge,1.0,0.75,31.09866666666667,-7.561666666666667,0.0023094010767587617,371,3,Stefan 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,ridge,1.0,1.0,31.058999999999997,-7.247333333333333,0.0026457513110621175,371,3,Stefan 앵커 + 선형 잔차(λ=1) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,ridge,2.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,ridge,2.0,0.25,31.242333333333335,-8.316666666666666,0.0025166114784251886,371,3,Stefan 앵커 + 선형 잔차(λ=0.25) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,ridge,2.0,0.5,31.203333333333333,-8.127,0.005507570547285737,371,3,Stefan 앵커 + 선형 잔차(λ=0.5) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,ridge,2.0,0.75,31.17233333333333,-7.937333333333334,0.008082903768655959,371,3,Stefan 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,ridge,2.0,1.0,31.149333333333335,-7.747333333333334,0.010066445913694577,371,3,Stefan 앵커 + 선형 잔차(λ=1) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,ridge,5.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=5)
