source,site,lat,lon,depth_m,temp_c,year,elev_m,gtnp_id
PERMOS,COR_0200,46.4285,9.822,52.0,0.14137,2008.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,61.0,-0.36857,2015.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.35271,2021.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,20.0,-0.87833,2002.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,30.0,-0.35974,2017.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,-0.04538,2018.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,62.0,0.1836,2013.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,61.0,-1.29392,2019.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,-0.16425,2016.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,25.0,-0.06553,2006.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,60.0,0.13545,2010.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,52.0,0.17289,2013.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,48.0,-0.05808,2013.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,61.0,-0.0611,2005.0,2672.3,CH 14
PERMOS,MAT_0205,45.9823,7.6761,15.0,-2.42835,2022.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,10.0,-2.67194,2022.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,20.0,-3.50317,2019.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,40.0,-2.99551,2007.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,40.0,-3.02425,2006.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,52.9,-3.02885,2008.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,20.0,-3.03677,2009.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,20.0,-3.23515,2023.0,3343.956,CH 09
PERMOS,ATT_0108,46.0968,7.2731,17.5,-0.5309,2018.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,4.0,-0.87254,2017.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,5.0,-0.66542,2013.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,4.0,-0.80127,2012.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-0.57219,2015.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,5.0,-1.21135,2010.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,8.5,-0.85164,2022.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.62399,2014.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-0.61166,2014.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-1.12246,2011.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,15.0,-0.56706,2019.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,3.0,-0.6424,2012.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,12.5,-0.59812,2021.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,15.0,-0.53579,2020.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,17.5,-0.5161,2019.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,12.5,-0.72229,2022.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,15.0,-0.68216,2013.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-0.73495,2021.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,6.0,-0.64738,2019.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,4.0,-0.32609,2020.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,17.5,-0.49625,2015.0,2661.0,CH 01
PERMOS,MAT_0205,45.9823,7.6761,0.5,-3.89839,2009.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,0.5,-4.24182,2013.0,3343.956,CH 09
PERMOS,ATT_0108,46.0968,7.2731,2.0,-0.91667,2021.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,2.0,-0.59625,2017.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,15.0,-0.54027,2021.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,3.0,-0.44634,2018.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,2.0,-0.62086,2013.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,2.0,0.11955,2023.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,5.0,-0.42694,2020.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,3.0,-0.1471,2023.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.53965,2016.0,2661.0,CH 01
PERMOS,MAT_0205,45.9823,7.6761,1.0,-3.45675,2006.0,3343.956,CH 09
PERMOS,ATT_0108,46.0968,7.2731,5.0,-1.05249,2009.0,2661.0,CH 01
PERMOS,MAT_0205,45.9823,7.6761,0.5,-3.43598,2012.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,1.0,-3.36262,2021.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,0.5,-1.62172,2022.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,6.0,-2.83469,2014.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,15.0,-2.85005,2012.0,3343.956,CH 09
