part,cv,model,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region,delta_rmse,ci_lo,ci_hi,metric,p1_stefan,p2_edaphic,p3_ttop,p4_kudryavtsev,p5_lambda,value,spearman,expert,var,var_label,unit,bin,bin_lo,bin_hi,w_p1_stefan,w_p2_edaphic,w_p3_ttop,w_p4_kudryavtsev,w_p5_lambda,dom_p1_stefan,dom_p2_edaphic,dom_p3_ttop,dom_p4_kudryavtsev,dom_p5_lambda
E_envbins,LORO,,,3479.0,,,,,,,,,,,,,,,,,,,,,,dem_elev,고도,m,3.0,31.92159843444824,320.0664367675785,0.6864618456381786,0.020174126299592286,0.0,0.1714332409617219,0.12193078710050795,0.7505030181086519,0.0,0.0,0.14343202069560218,0.1060649611957459
E_envbins,LORO,,,3477.0,,,,,,,,,,,,,,,,,,,,,,dem_elev,고도,m,4.0,320.0664367675785,2268.3271484375,0.721325281949198,0.0007281892752151799,0.0,0.015592351848877806,0.2623541769267112,0.8386540120793787,0.0,0.0,0.0,0.16134598792062121
E_envbins,LORO,,,3477.0,,,,,,,,,,,,,,,,,,,,,,dem_slope,경사,°,0.0,0.0,0.3294178247451782,0.1969970434159184,0.11544590214294366,0.0,0.05264931829477328,0.6349077361463625,0.20448662640207074,0.0,0.0,0.025021570319240724,0.7704918032786885
E_envbins,LORO,,,3472.0,,,,,,,,,,,,,,,,,,,,,,dem_slope,경사,°,1.0,0.3294178247451782,0.6356703639030457,0.2806219733112951,0.10499234716126307,0.0,0.060803621299422066,0.5535820582280211,0.2952188940092166,0.0,0.0,0.04521889400921659,0.6595622119815668
E_envbins,LORO,,,3482.0,,,,,,,,,,,,,,,,,,,,,,dem_slope,경사,°,2.0,0.6356703639030457,1.2684311389923093,0.45996433132301023,0.08429098282991379,0.0,0.09071654508189633,0.36502814076518136,0.4850660539919586,0.0,0.0,0.07553130384836301,0.43940264215967834
E_envbins,LORO,,,3476.0,,,,,,,,,,,,,,,,,,,,,,dem_slope,경사,°,3.0,1.2684311389923093,2.467612743377685,0.5003284393014238,0.07951138182184786,0.0,0.08052414787911322,0.33963603099761647,0.5678941311852704,0.0,0.0,0.07479861910241657,0.357307249712313
E_envbins,LORO,,,3478.0,,,,,,,,,,,,,,,,,,,,,,dem_slope,경사,°,4.0,2.467612743377685,31.85591125488281,0.6460865013550884,0.026555962691506906,0.0,0.11117593999388295,0.21618159595952288,0.7328924669350201,0.0,0.0,0.10063254744105808,0.1664749856239218
E_envbins,LORO,,,3333.0,,,,,,,,,,,,,,,,,,,,,,sg_soc_5_15,토양유기탄소 SOC 5-15cm,g/kg,0.0,26.0,111.4,0.9320032762063131,0.006760267469838193,0.0,0.05348844239782956,0.007748013926018099,0.9444944494449445,0.0,0.0,0.0555055505550555,0.0
E_envbins,LORO,,,3417.0,,,,,,,,,,,,,,,,,,,,,,sg_soc_5_15,토양유기탄소 SOC 5-15cm,g/kg,1.0,111.4,240.6,0.681595796268081,0.02594444966677957,0.0,0.09801613268333036,0.19444362138180726,0.7509511267193445,0.0,0.0,0.0520924787825578,0.19695639449809774
E_envbins,LORO,,,2506.0,,,,,,,,,,,,,,,,,,,,,,sg_soc_5_15,토양유기탄소 SOC 5-15cm,g/kg,2.0,240.6,256.6,0.08788614565154834,0.18499587848935412,0.0,0.05894069875966315,0.6681772770994362,0.10135674381484437,0.0,0.0,0.052673583399840386,0.8459696727853152
E_envbins,LORO,,,4299.0,,,,,,,,,,,,,,,,,,,,,,sg_soc_5_15,토양유기탄소 SOC 5-15cm,g/kg,3.0,256.6,292.3,0.179615200142486,0.129480108543648,0.0,0.14344017009419097,0.5474645212196739,0.21656199116073505,0.0,0.0,0.14189346359618515,0.6415445452430798
E_envbins,LORO,,,3434.0,,,,,,,,,,,,,,,,,,,,,,sg_soc_5_15,토양유기탄소 SOC 5-15cm,g/kg,4.0,292.3,353.7,0.12784621366765514,0.08502824528096208,0.0,0.02583790049657125,0.7612876405548105,0.19015725101921957,0.0,0.0,0.0034944670937682005,0.8063482818870122
