loc_id,region,label_class,n_pts,frac_gpr,frac_probe,frac_late,month_mean
380,ABoVE_AK,ABoVE 기타/결측,71.0,0.0,0.3380281690140845,0.8309859154929577,7.492957746478873
381,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,0.5,1.0,8.0
382,ABoVE_AK,ABoVE 기타/결측,65.0,0.0,0.3384615384615385,0.8153846153846154,7.446153846153846
383,ABoVE_AK,ABoVE 기타/결측,83.0,0.0,0.27710843373493976,0.8554216867469879,7.566265060240964
384,ABoVE_AK,ABoVE 기타/결측,44.0,0.0,0.3181818181818182,0.9772727272727273,7.931818181818182
385,ABoVE_AK,ABoVE 기타/결측,48.0,0.0,0.3333333333333333,0.875,7.625
386,ABoVE_AK,ABoVE 기타/결측,43.0,0.0,0.4418604651162791,0.8837209302325582,7.651162790697675
387,ABoVE_AK,ABoVE 기타/결측,51.0,0.0,0.47058823529411764,0.803921568627451,7.411764705882353
388,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,0.5,0.5555555555555556,6.666666666666667
389,ABoVE_AK,ABoVE 기타/결측,34.0,0.0,0.38235294117647056,0.9705882352941176,7.911764705882353
390,ABoVE_AK,ABoVE 기타/결측,15.0,0.0,0.3333333333333333,0.5333333333333333,6.6
391,ABoVE_AK,ABoVE 기타/결측,45.0,0.0,0.3333333333333333,1.0,8.0
392,ABoVE_AK,ABoVE 탐침 우세,42.0,0.0,0.5,0.8571428571428571,7.571428571428571
393,ABoVE_AK,ABoVE 기타/결측,19.0,0.0,0.47368421052631576,0.47368421052631576,6.421052631578948
394,ABoVE_AK,ABoVE 기타/결측,33.0,0.0,0.48484848484848486,0.9393939393939394,7.818181818181818
395,ABoVE_AK,ABoVE 탐침 우세,28.0,0.0,0.5,0.5,6.5
396,ABoVE_AK,ABoVE 기타/결측,61.0,0.0,0.4918032786885246,0.7377049180327869,7.213114754098361
397,ABoVE_AK,ABoVE 기타/결측,61.0,0.0,0.39344262295081966,0.8360655737704918,7.508196721311475
398,ABoVE_AK,ABoVE 기타/결측,52.0,0.0,0.4230769230769231,0.8461538461538461,7.538461538461538
399,ABoVE_AK,ABoVE 기타/결측,36.0,0.0,0.4166666666666667,0.9444444444444444,7.833333333333333
400,ABoVE_AK,ABoVE 탐침 우세,20.0,0.0,0.5,0.5,6.5
401,ABoVE_AK,ABoVE 탐침 우세,48.0,0.0,0.5,0.7916666666666666,7.375
402,ABoVE_AK,ABoVE 탐침 우세,10.0,0.0,0.5,0.5,6.5
403,ABoVE_AK,ABoVE 탐침 우세,20.0,0.0,0.5,1.0,8.0
404,ABoVE_AK,ABoVE 기타/결측,40.0,0.0,0.125,1.0,8.0
405,ABoVE_AK,ABoVE 탐침 우세,22.0,0.0,0.5,0.5,6.5
406,ABoVE_AK,ABoVE 기타/결측,39.0,0.0,0.28205128205128205,0.7948717948717948,7.384615384615385
407,ABoVE_AK,ABoVE 기타/결측,22.0,0.0,0.45454545454545453,0.9545454545454546,7.863636363636363
408,ABoVE_AK,ABoVE 탐침 우세,8.0,0.0,0.5,0.5,6.5
409,ABoVE_AK,ABoVE 기타/결측,35.0,0.0,0.2571428571428571,0.7142857142857143,7.142857142857143
410,ABoVE_AK,ABoVE 기타/결측,38.0,0.0,0.3684210526315789,1.0,8.0
411,ABoVE_AK,ABoVE 기타/결측,76.0,0.0,0.3815789473684211,0.8026315789473685,7.407894736842105
412,ABoVE_AK,ABoVE 기타/결측,62.0,0.0,0.24193548387096775,0.8225806451612904,7.467741935483871
413,ABoVE_AK,ABoVE 기타/결측,23.0,0.0,0.43478260869565216,0.9565217391304348,7.869565217391305
414,ABoVE_AK,ABoVE 기타/결측,38.0,0.0,0.47368421052631576,0.868421052631579,7.605263157894737
415,ABoVE_AK,ABoVE 탐침 우세,20.0,0.0,0.5,0.5,6.5
416,ABoVE_AK,ABoVE 탐침 우세,2.0,0.0,0.5,1.0,8.0
417,ABoVE_AK,ABoVE 기타/결측,76.0,0.0,0.3815789473684211,0.8026315789473685,7.407894736842105
418,ABoVE_AK,ABoVE 기타/결측,30.0,0.0,0.4666666666666667,0.5,6.5
419,ABoVE_AK,ABoVE 기타/결측,32.0,0.0,0.46875,0.96875,7.90625
420,ABoVE_AK,ABoVE 기타/결측,61.0,0.0,0.22950819672131148,0.7540983606557377,7.262295081967213
421,ABoVE_AK,ABoVE 기타/결측,34.0,0.0,0.4411764705882353,0.9705882352941176,7.911764705882353
422,ABoVE_AK,ABoVE 기타/결측,38.0,0.0,0.2631578947368421,0.7105263157894737,7.131578947368421
423,ABoVE_AK,ABoVE 탐침 우세,30.0,0.0,0.5,1.0,8.0
424,ABoVE_AK,ABoVE 기타/결측,40.0,0.0,0.25,0.75,7.25
425,ABoVE_AK,ABoVE 기타/결측,34.0,0.0,0.4411764705882353,0.9705882352941176,7.911764705882353
426,ABoVE_AK,ABoVE 기타/결측,21.0,0.0,0.47619047619047616,0.47619047619047616,6.428571428571429
427,ABoVE_AK,ABoVE 기타/결측,50.0,0.0,0.34,0.92,7.76
428,ABoVE_AK,ABoVE 기타/결측,64.0,0.0,0.375,0.796875,7.390625
429,ABoVE_AK,ABoVE 기타/결측,3.0,0.0,0.3333333333333333,0.3333333333333333,6.0
