site_name,year,lat,lon,alt_cm,n_pts
E94,2022,68.31877732,-133.52044393,40.25,1
E95,2022,68.3188908500001,-133.52037396,45.75,1
E96,2022,68.31907758,-133.52008251,52.25,1
E97,2022,68.3192201200001,-133.52011244,71.5,1
E98,2022,68.31932128,-133.51992771,58.75,1
E99,2022,68.3194044800001,-133.51991609,60.75,1
Eight Mile Lake,2013,63.880267,-149.256135,42.75627240143369,279
Eight_Mile_Lake-CiPEHR,2022,63.88337366666666,-149.22749133333346,50.5,110
Eight_Mile_Lake-Gradient Extensive,2022,63.87993233333334,-149.25590899999997,55.627272727272725,110
Eight_Mile_Lake-Gradient Minimal,2022,63.8770336666667,-149.24789466666655,52.627272727272725,110
Eight_Mile_Lake-Gradient Moderate,2022,63.878797,-149.25426766666652,65.82727272727273,110
Emmits_Hill,2014,68.712269441,-149.84443865,32.8,40
FB_B1_FB_B2,2018,69.674361,-148.707306,41.38095238095238,21
FB_B1a,2018,69.674333,-148.707694,37.666666666666664,21
FB_B2,2018,70.03275,-148.641444,43.59090909090909,11
FL,2014,64.87484221776081,-147.6815421244275,63.47210403982188,393
Farmers-T1,2005,64.87720147509488,-147.67786743962645,80.0990099009901,101
Farmers-T1,2007,64.87720147509488,-147.67786743962645,72.93069306930693,101
Farmers-T1,2010,64.87720147509488,-147.67786743962645,77.02970297029702,101
Farmers-T1,2014,64.87720147509488,-147.67786743962645,78.2871287128713,101
Farmers-T1,2017,64.87720147509488,-147.67786743962645,72.85148514851485,202
Farmers-T1,2018,64.87720147509488,-147.67786743962645,72.79207920792079,101
Farmers-T1,2019,64.87720147509488,-147.67786743962645,66.21782178217822,101
Farmers-T1,2021,64.87720147509488,-147.67786743962645,77.88118811881188,101
FarmersT2,2005,64.87474793845091,-147.68062698975478,98.5079365079365,126
FarmersT2,2007,64.87474793845091,-147.68062698975478,80.65873015873017,126
FarmersT2,2010,64.87474793845091,-147.68062698975478,88.21428571428571,126
FarmersT2,2011,64.87474793845091,-147.68062698975478,88.72222222222223,126
FarmersT2,2014,64.87474793845091,-147.68062698975478,98.07936507936508,126
FarmersT2,2017,64.87474793845091,-147.68062698975478,84.5952380952381,126
FarmersT2,2019,64.87474793845091,-147.68062698975478,72.15873015873017,126
FarmersT2,2021,64.87474793845091,-147.68062698975478,96.23015873015873,126
Galbraith,2014,68.47687129411231,-149.50112855322934,51.62007800312013,3205
Galbraith Lake,2014,68.47679601,-149.50161367,50.9,10
