proto,family,anchor,pseudo,resid,r,lam,rmse_mean,n_reg,name
half,anchored,stefan_cci,stefan,ridge,5.0,0.75,22.208666666666666,2,Stefan+위성제품 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=5)
half,anchored,stefan_cci,stefan,ridge,5.0,1.0,23.163,2,Stefan+위성제품 앵커 + 선형 잔차(λ=1) · Stefan 증강(r=5)
half,anchored,stefan_cci,stefan,ridge,10.0,0.0,21.6775,2,Stefan+위성제품 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=10)
half,anchored,stefan_cci,stefan,ridge,10.0,0.25,21.443,2,Stefan+위성제품 앵커 + 선형 잔차(λ=0.25) · Stefan 증강(r=10)
half,anchored,stefan_cci,stefan,ridge,10.0,0.5,21.609,2,Stefan+위성제품 앵커 + 선형 잔차(λ=0.5) · Stefan 증강(r=10)
half,anchored,stefan_cci,stefan,ridge,10.0,0.75,22.16583333333333,2,Stefan+위성제품 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=10)
half,anchored,stefan_cci,stefan,ridge,10.0,1.0,23.085833333333333,2,Stefan+위성제품 앵커 + 선형 잔차(λ=1) · Stefan 증강(r=10)
half,anchored,stefan_cci,stefan_cci,catboost,0.5,0.0,21.6775,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0) · Stefan+위성 증강(r=0.5)
half,anchored,stefan_cci,stefan_cci,catboost,0.5,0.25,21.6035,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.25) · Stefan+위성 증강(r=0.5)
half,anchored,stefan_cci,stefan_cci,catboost,0.5,0.5,21.55216666666667,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.5) · Stefan+위성 증강(r=0.5)
half,anchored,stefan_cci,stefan_cci,catboost,0.5,0.75,21.52366666666667,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.75) · Stefan+위성 증강(r=0.5)
half,anchored,stefan_cci,stefan_cci,catboost,0.5,1.0,21.5185,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=1) · Stefan+위성 증강(r=0.5)
half,anchored,stefan_cci,stefan_cci,catboost,1.0,0.0,21.6775,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0) · Stefan+위성 증강(r=1)
half,anchored,stefan_cci,stefan_cci,catboost,1.0,0.25,21.59616666666667,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.25) · Stefan+위성 증강(r=1)
half,anchored,stefan_cci,stefan_cci,catboost,1.0,0.5,21.535666666666664,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.5) · Stefan+위성 증강(r=1)
half,anchored,stefan_cci,stefan_cci,catboost,1.0,0.75,21.495833333333334,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.75) · Stefan+위성 증강(r=1)
half,anchored,stefan_cci,stefan_cci,catboost,1.0,1.0,21.477666666666668,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=1) · Stefan+위성 증강(r=1)
half,anchored,stefan_cci,stefan_cci,catboost,2.0,0.0,21.6775,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0) · Stefan+위성 증강(r=2)
half,anchored,stefan_cci,stefan_cci,catboost,2.0,0.25,21.584833333333336,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.25) · Stefan+위성 증강(r=2)
half,anchored,stefan_cci,stefan_cci,catboost,2.0,0.5,21.510166666666667,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.5) · Stefan+위성 증강(r=2)
half,anchored,stefan_cci,stefan_cci,catboost,2.0,0.75,21.453833333333336,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.75) · Stefan+위성 증강(r=2)
half,anchored,stefan_cci,stefan_cci,catboost,2.0,1.0,21.416333333333334,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=1) · Stefan+위성 증강(r=2)
half,anchored,stefan_cci,stefan_cci,catboost,5.0,0.0,21.6775,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0) · Stefan+위성 증강(r=5)
half,anchored,stefan_cci,stefan_cci,catboost,5.0,0.25,21.598666666666666,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.25) · Stefan+위성 증강(r=5)
half,anchored,stefan_cci,stefan_cci,catboost,5.0,0.5,21.536,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.5) · Stefan+위성 증강(r=5)
half,anchored,stefan_cci,stefan_cci,catboost,5.0,0.75,21.49,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.75) · Stefan+위성 증강(r=5)
half,anchored,stefan_cci,stefan_cci,catboost,5.0,1.0,21.46033333333333,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=1) · Stefan+위성 증강(r=5)
half,anchored,stefan_cci,stefan_cci,catboost,10.0,0.0,21.6775,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0) · Stefan+위성 증강(r=10)
half,anchored,stefan_cci,stefan_cci,catboost,10.0,0.25,21.599833333333333,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.25) · Stefan+위성 증강(r=10)
half,anchored,stefan_cci,stefan_cci,catboost,10.0,0.5,21.53516666666667,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.5) · Stefan+위성 증강(r=10)
half,anchored,stefan_cci,stefan_cci,catboost,10.0,0.75,21.484833333333334,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=0.75) · Stefan+위성 증강(r=10)
half,anchored,stefan_cci,stefan_cci,catboost,10.0,1.0,21.448333333333334,2,Stefan+위성제품 앵커 + 부스팅 잔차(λ=1) · Stefan+위성 증강(r=10)
half,anchored,stefan_cci,stefan_cci,mlp,2.0,0.0,21.6775,2,Stefan+위성제품 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan+위성 증강(r=2)
half,anchored,stefan_cci,stefan_cci,mlp,2.0,0.25,21.662333333333333,2,Stefan+위성제품 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan+위성 증강(r=2)
half,anchored,stefan_cci,stefan_cci,mlp,2.0,0.5,21.653666666666666,2,Stefan+위성제품 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan+위성 증강(r=2)
