axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
LORO,Russia_C,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,7,55.853,29.724,-25.899,0.054,0.0274,53.846,2.007000000000005,-7.5836869147389345,4.102303078717615
LORO,Russia_C,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,7,54.917,29.541,-25.685,0.0854,0.0437,53.846,1.071000000000005,-6.223284083327332,2.6556973802407713
LORO,Russia_C,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),7,54.822,31.539,-22.296,0.0886,0.0453,53.846,0.9760000000000062,-1.7625253722656151,1.8856542594261922
LORO,Russia_C,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,7,54.045,32.143,-20.588,0.1143,0.0589,53.846,0.19900000000000517,-0.2101371144183791,0.3882822422231186
LORO,Russia_C,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),7,53.086,31.446,-20.082,0.1454,0.0756,53.846,-0.759999999999998,-1.2979233059875106,0.650176337985107
LORO,Russia_W,F1k1,F1 Stefan,1,E·√TDD,31,46.477,38.205,-36.277,-1.3965,-0.5481,46.477,0.0,0.0,0.0
LORO,Russia_W,F1k2,F1 Stefan,2,a+E·√TDD,31,46.865,38.606,-36.69,-1.4368,-0.561,46.477,0.38800000000000523,-0.028798086445159923,0.8128688556451984
LORO,Russia_W,F2k2,F2 멱법칙,2,a·TDD^b,31,46.701,38.434,-36.481,-1.4197,-0.5555,46.477,0.22400000000000375,-0.14377802367097897,0.5510332975137219
LORO,Russia_W,F3k2,F3 TDD 선형,2,a+b·TDD,31,47.553,39.316,-37.61,-1.5088,-0.5839,46.477,1.0760000000000005,0.7182306022985875,1.3938820098785871
LORO,Russia_W,F4k2,F4 MAAT 선형,2,a+b·MAAT,31,47.104,39.271,-37.454,-1.4617,-0.569,46.477,0.6270000000000024,-1.5725774717439311,2.7445356123031126
LORO,Russia_W,F5k0,F5 edaphic,0,pedotransfer raw,31,37.685,33.174,23.978,-0.5756,-0.2552,46.477,-8.791999999999994,-22.245239267597743,4.7928461821884
LORO,Russia_W,F5k1,F5 edaphic,1,c·edaphic,31,41.1,33.381,-29.838,-0.8741,-0.369,46.477,-5.376999999999995,-7.721565627086461,-3.4725648808268796
LORO,Russia_W,F5k2,F5 edaphic,2,a+c·edaphic,31,44.072,36.14,-33.433,-1.155,-0.468,46.477,-2.404999999999994,-3.189248176755587,-1.558440467770074
LORO,Russia_W,F6k0,F6 Kudryavtsev,0,raw,31,34.833,29.493,15.206,-0.3462,-0.1602,46.477,-11.643999999999998,-25.38743407524936,2.573843741439786
LORO,Russia_W,F6k1,F6 Kudryavtsev,1,c·Ku,31,34.501,26.399,-18.281,-0.3206,-0.1492,46.477,-11.975999999999999,-17.439292991907983,-6.966845372177703
LORO,Russia_W,F6k2,F6 Kudryavtsev,2,a+c·Ku,31,41.799,34.009,-30.326,-0.9384,-0.3923,46.477,-4.677999999999997,-5.881382336288756,-3.6178772821506286
LORO,Russia_W,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,31,47.914,39.811,-38.304,-1.5471,-0.596,46.477,1.4370000000000047,0.97866162283725,1.9454039343064788
LORO,Russia_W,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,31,47.778,39.672,-38.203,-1.5326,-0.5914,46.477,1.301000000000002,0.7099329773989037,1.8488244057821392
LORO,Russia_W,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),31,46.907,38.642,-36.757,-1.4411,-0.5624,46.477,0.4299999999999997,0.2031368461466773,0.6636520156369845
LORO,Russia_W,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,31,46.707,38.385,-36.466,-1.4203,-0.5557,46.477,0.23000000000000398,0.0013136563426275705,0.44947837150632564
LORO,Russia_W,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),31,48.376,40.267,-38.749,-1.5964,-0.6113,46.477,1.899000000000001,1.2901814958372646,2.5485923337847427
LORO,Greenland,F1k1,F1 Stefan,1,E·√TDD,3,43.791,42.889,-42.889,-123.9485,-10.178,43.791,0.0,,
LORO,Greenland,F1k2,F1 Stefan,2,a+E·√TDD,3,39.102,38.319,-38.319,-98.6256,-8.9813,43.791,-4.689,,
LORO,Greenland,F2k2,F2 멱법칙,2,a·TDD^b,3,40.538,39.661,-39.661,-106.0739,-9.3477,43.791,-3.253,,
LORO,Greenland,F3k2,F3 TDD 선형,2,a+b·TDD,3,35.248,34.755,-34.755,-79.9518,-7.9973,43.791,-8.543,,
LORO,Greenland,F4k2,F4 MAAT 선형,2,a+b·MAAT,3,28.044,26.597,-26.597,-50.2445,-6.1585,43.791,-15.746999999999996,,
LORO,Greenland,F5k0,F5 edaphic,0,pedotransfer raw,3,22.272,21.166,-12.617,-31.322,-4.6852,43.791,-21.519,,
LORO,Greenland,F5k1,F5 edaphic,1,c·edaphic,3,40.813,39.328,-39.328,-107.5306,-9.4178,43.791,-2.9779999999999944,,
