axis,region,method,seed,E_train,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi,source,b_learned_cm,sig_learned_te_cm,b_emp_train_cm,sig_emp_train_cm,b_emp_test_cm,sig_emp_test_cm,axis_kind
AK_fold,fold2,sa_z,2,1.627,1778.0,17.123,13.816,3.008,-0.0167,16.982,-0.0083,0.9989,861.513,,,,,,,,,,,
AK_fold,fold2,sa_fusion,2,1.627,1778.0,17.21,13.943,3.279,-0.0271,16.982,-0.0134,0.0849,5.065,,,,,,,,,,,
AK_fold,fold3,stefan_anchor,0,1.6516,1778.0,13.326,10.266,6.794,0.0263,13.505,0.0133,,,,,,,,,,,,,
AK_fold,fold3,direct_catboost,0,1.6516,1778.0,11.098,8.295,-1.328,0.3247,13.505,0.1782,0.8948,33.879,,,,,,,,,,,
AK_fold,fold3,direct_mlp,0,1.6516,1778.0,10.973,8.239,2.235,0.3398,13.505,0.1875,,,,,,,,,,,,,
AK_fold,fold3,physfeat_catboost,0,1.6516,1778.0,11.229,8.3,-1.778,0.3086,13.505,0.1685,0.8706,32.305,,,,,,,,,,,
AK_fold,fold3,pool_catboost,0,1.6516,1778.0,13.124,9.517,4.188,0.0557,13.505,0.0282,0.3549,10.314,,,,,,,,,,,
AK_fold,fold3,pool_mlp,0,1.6516,1778.0,13.105,9.53,3.87,0.0583,13.505,0.0296,,,,,,,,,,,,,
AK_fold,fold3,fixaug_catboost,0,1.6516,1778.0,13.312,10.254,6.775,0.0285,13.505,0.0143,0.0979,4.046,,,,,,,,,,,
AK_fold,fold3,sa_z,0,1.6516,1778.0,13.031,9.493,1.032,0.069,13.505,0.0351,0.9949,99.585,,,,,,,,,,,
AK_fold,fold3,sa_fusion,0,1.6516,1778.0,12.832,9.271,1.184,0.0972,13.505,0.0498,0.324,16.237,,,,,,,,,,,
AK_fold,fold3,direct_catboost,1,1.6516,1778.0,10.986,8.184,-1.109,0.3383,13.505,0.1866,0.8751,31.94,,,,,,,,,,,
AK_fold,fold3,direct_mlp,1,1.6516,1778.0,12.283,9.34,4.96,0.1728,13.505,0.0905,,,,,,,,,,,,,
AK_fold,fold3,physfeat_catboost,1,1.6516,1778.0,11.505,8.68,-2.439,0.2742,13.505,0.1481,0.9066,35.729,,,,,,,,,,,
AK_fold,fold3,pool_catboost,1,1.6516,1778.0,13.138,9.526,4.183,0.0536,13.505,0.0272,0.3538,10.309,,,,,,,,,,,
AK_fold,fold3,pool_mlp,1,1.6516,1778.0,13.005,9.458,3.885,0.0727,13.505,0.037,,,,,,,,,,,,,
AK_fold,fold3,fixaug_catboost,1,1.6516,1778.0,13.314,10.256,6.775,0.0281,13.505,0.0142,0.0967,3.862,,,,,,,,,,,
AK_fold,fold3,sa_z,1,1.6516,1778.0,12.579,9.439,-1.143,0.1324,13.505,0.0686,0.9764,100.164,,,,,,,,,,,
AK_fold,fold3,sa_fusion,1,1.6516,1778.0,12.747,9.233,1.094,0.1091,13.505,0.0561,0.3892,14.989,,,,,,,,,,,
AK_fold,fold3,direct_catboost,2,1.6516,1778.0,11.22,8.411,-1.305,0.3098,13.505,0.1692,0.9139,38.04,,,,,,,,,,,
AK_fold,fold3,direct_mlp,2,1.6516,1778.0,11.699,8.813,2.626,0.2495,13.505,0.1337,,,,,,,,,,,,,
