scheme,seed,fold,model,n_test,E_train,nnd_median_km,rmse_cm,mae_cm,bias_cm,r2
block_0.5_canonical,1,4,stefan_ridge_l075,1778,1.6063,26.634,11.517,8.885,-2.588,-0.1043
block_0.5_canonical,1,5,stefan,1778,1.6208,27.384,22.563,16.283,0.444,0.0613
block_0.5_canonical,1,5,ridge,1778,1.6208,27.384,21.269,14.103,-4.772,0.1659
block_0.5_canonical,1,5,catboost_lo,1778,1.6208,27.384,22.767,15.234,-7.378,0.0442
block_0.5_canonical,1,5,stefan_ridge_l075,1778,1.6208,27.384,21.14,14.093,-3.571,0.1759
block_0.5_canonical,2,0,stefan,4716,1.5734,72.128,11.048,8.924,-5.929,-0.3898
block_0.5_canonical,2,0,ridge,4716,1.5734,72.128,10.384,8.348,4.504,-0.2278
block_0.5_canonical,2,0,catboost_lo,4716,1.5734,72.128,18.565,16.193,15.9,-2.9239
block_0.5_canonical,2,0,stefan_ridge_l075,4716,1.5734,72.128,9.41,7.735,1.187,-0.0083
block_0.5_canonical,2,1,stefan,1778,1.6249,25.617,12.393,9.127,1.525,0.0376
block_0.5_canonical,2,1,ridge,1778,1.6249,25.617,12.091,9.366,2.021,0.0839
block_0.5_canonical,2,1,catboost_lo,1778,1.6249,25.617,12.179,9.037,-2.926,0.0704
block_0.5_canonical,2,1,stefan_ridge_l075,1778,1.6249,25.617,12.071,9.244,1.942,0.0869
block_0.5_canonical,2,2,stefan,1778,1.627,27.053,17.095,13.678,2.53,-0.0134
block_0.5_canonical,2,2,ridge,1778,1.627,27.053,17.086,14.248,5.206,-0.0124
block_0.5_canonical,2,2,catboost_lo,1778,1.627,27.053,16.337,12.755,0.749,0.0744
block_0.5_canonical,2,2,stefan_ridge_l075,1778,1.627,27.053,17.01,14.058,4.72,-0.0034
block_0.5_canonical,2,3,stefan,1778,1.6516,19.479,13.326,10.266,6.794,0.0263
block_0.5_canonical,2,3,ridge,1778,1.6516,19.479,10.318,7.712,-0.686,0.4162
block_0.5_canonical,2,3,catboost_lo,1778,1.6516,19.479,11.173,8.344,-1.09,0.3155
block_0.5_canonical,2,3,stefan_ridge_l075,1778,1.6516,19.479,10.501,7.829,1.198,0.3954
block_0.5_canonical,2,4,stefan,1778,1.6063,26.634,11.962,9.093,-3.169,-0.1912
block_0.5_canonical,2,4,ridge,1778,1.6063,26.634,11.687,8.992,-1.888,-0.1371
block_0.5_canonical,2,4,catboost_lo,1778,1.6063,26.634,12.319,9.283,-4.048,-0.2635
block_0.5_canonical,2,4,stefan_ridge_l075,1778,1.6063,26.634,11.517,8.885,-2.588,-0.1043
block_0.5_canonical,2,5,stefan,1778,1.6208,27.384,22.563,16.283,0.444,0.0613
