method,feature,group,fold,delta_rmse_cm,rmse_base_fold,n_eval
stefan_cb1,e5_tcold,기후,2,-0.011217639120238942,16.92621445250584,1778
stefan_cb1,e5_tcold,기후,3,0.024517115929904066,11.237342541635392,1778
stefan_cb1,e5_tcold,기후,4,0.0025717216190979998,12.46598920580537,1778
stefan_cb1,e5_tcold,기후,5,0.017424398724103084,22.352233556706423,1778
stefan_cb1,e5_stl1,기후,0,0.0,11.28989012632896,4716
stefan_cb1,e5_stl1,기후,1,-0.00044754321710644974,12.551555248439486,1778
stefan_cb1,e5_stl1,기후,2,0.0069645911521377,16.92621445250584,1778
stefan_cb1,e5_stl1,기후,3,0.0006028588281905556,11.237342541635392,1778
stefan_cb1,e5_stl1,기후,4,-0.00430216864787294,12.46598920580537,1778
stefan_cb1,e5_stl1,기후,5,0.02579857321216892,22.352233556706423,1778
stefan_cb1,e5_swe,기후,0,0.0,11.28989012632896,4716
stefan_cb1,e5_swe,기후,1,0.11959061571023302,12.551555248439486,1778
stefan_cb1,e5_swe,기후,2,0.043204525635164616,16.92621445250584,1778
stefan_cb1,e5_swe,기후,3,0.2984762984711896,11.237342541635392,1778
stefan_cb1,e5_swe,기후,4,-0.23803826740269204,12.46598920580537,1778
stefan_cb1,e5_swe,기후,5,-0.0029608915815650507,22.352233556706423,1778
stefan_cb1,sg_clay_5_15,토양,0,-0.0010703447173678882,11.28989012632896,4716
stefan_cb1,sg_clay_5_15,토양,1,0.0018235609002504205,12.551555248439486,1778
stefan_cb1,sg_clay_5_15,토양,2,-0.02746574892933822,16.92621445250584,1778
stefan_cb1,sg_clay_5_15,토양,3,0.016352913521025948,11.237342541635392,1778
stefan_cb1,sg_clay_5_15,토양,4,-0.00440416012152518,12.46598920580537,1778
stefan_cb1,sg_clay_5_15,토양,5,-0.018263291750826128,22.352233556706423,1778
stefan_cb1,sg_sand_5_15,토양,0,-0.00807854140004256,11.28989012632896,4716
stefan_cb1,sg_sand_5_15,토양,1,0.008688706964681358,12.551555248439486,1778
stefan_cb1,sg_sand_5_15,토양,2,-0.07494701693337617,16.92621445250584,1778
stefan_cb1,sg_sand_5_15,토양,3,0.0055073836512081085,11.237342541635392,1778
