target,model,mode,stratum,n,n_blocks,frac,rmse_model,rmse_stefan,delta_rmse,ci_lo,ci_hi,bias_model,bias_stefan,flag
Canada,ridge,stefan+lam0.25,sg_missing,1,1,0.001,8.227,0.956,7.271,,,-8.227,-0.956,참고(n<10)
Canada,ridge,stefan+lam0.25,aoa_in,354,23,0.474,29.556,30.361,-0.805,-5.128,3.556,-1.987,4.977,
Canada,ridge,stefan+lam0.25,aoa_out,393,22,0.526,26.006,22.469,3.537,-1.189,10.757,-6.268,-0.097,
Canada,ridge,stefan+lam0.25,swe_in_range,746,35,0.999,26.401,26.519,-0.118,-3.965,2.767,-3.93,2.323,
Canada,ridge,stefan+lam0.25,swe_out_of_range,1,1,0.001,234.635,9.575,225.06,,,-234.635,-9.575,참고(n<10)
Canada,ridge,stefan+lam0.25,x25_all_in_range,4,4,0.005,35.012,36.116,-1.104,-2.386,1.325,-6.318,-7.986,참고(n<10)
Canada,ridge,stefan+lam0.25,x25_any_out_of_range,743,32,0.995,27.701,26.443,1.258,-3.202,5.987,-4.228,2.363,
Canada,catboost_lo,direct,all,747,36,1.0,28.519,26.504,2.015,-4.32,6.78,-7.034,2.307,
Canada,catboost_lo,direct,complete,746,35,0.999,28.535,26.522,2.014,-4.274,6.638,-7.057,2.312,
Canada,catboost_lo,direct,sg_missing,1,1,0.001,10.285,0.956,9.329,,,10.285,-0.956,참고(n<10)
Canada,catboost_lo,direct,aoa_in,354,23,0.474,31.112,30.361,0.75,-6.718,7.7,-5.276,4.977,
Canada,catboost_lo,direct,aoa_out,393,22,0.526,25.962,22.469,3.493,0.017,7.263,-8.618,-0.097,
Canada,catboost_lo,direct,swe_in_range,746,35,0.999,28.531,26.519,2.012,-4.284,6.635,-7.067,2.323,
Canada,catboost_lo,direct,swe_out_of_range,1,1,0.001,17.147,9.575,7.572,,,17.147,-9.575,참고(n<10)
Canada,catboost_lo,direct,x25_all_in_range,4,4,0.005,29.751,36.116,-6.366,-10.274,-4.082,-9.4,-7.986,참고(n<10)
Canada,catboost_lo,direct,x25_any_out_of_range,743,32,0.995,28.512,26.443,2.069,-4.234,6.686,-7.021,2.363,
Canada,catboost_lo,stefan+lam0.25,all,747,36,1.0,26.304,26.504,-0.2,-0.878,0.31,1.886,2.307,
Canada,catboost_lo,stefan+lam0.25,complete,746,35,0.999,26.321,26.522,-0.2,-0.899,0.298,1.889,2.312,
Canada,catboost_lo,stefan+lam0.25,sg_missing,1,1,0.001,0.21,0.956,-0.746,,,-0.21,-0.956,참고(n<10)
Canada,catboost_lo,stefan+lam0.25,aoa_in,354,23,0.474,29.889,30.361,-0.472,-1.255,0.236,4.096,4.977,
Canada,catboost_lo,stefan+lam0.25,aoa_out,393,22,0.526,22.593,22.469,0.123,-0.263,0.514,-0.105,-0.097,
Canada,catboost_lo,stefan+lam0.25,swe_in_range,746,35,0.999,26.319,26.519,-0.2,-0.898,0.299,1.9,2.323,
Canada,catboost_lo,stefan+lam0.25,swe_out_of_range,1,1,0.001,8.762,9.575,-0.813,,,-8.762,-9.575,참고(n<10)
Canada,catboost_lo,stefan+lam0.25,x25_all_in_range,4,4,0.005,34.507,36.116,-1.609,-2.178,-0.95,-7.879,-7.986,참고(n<10)
Canada,catboost_lo,stefan+lam0.25,x25_any_out_of_range,743,32,0.995,26.253,26.443,-0.19,-0.905,0.291,1.938,2.363,
Canada,mlp,direct,all,747,36,1.0,27.645,26.504,1.141,-1.829,3.599,-4.396,2.307,
Canada,mlp,direct,complete,746,35,0.999,27.656,26.522,1.135,-1.91,3.58,-4.379,2.312,
Canada,mlp,direct,sg_missing,1,1,0.001,17.158,0.956,16.202,,,-17.158,-0.956,참고(n<10)
Canada,mlp,direct,aoa_in,354,23,0.474,30.591,30.361,0.23,-2.823,3.211,-0.317,4.977,
Canada,mlp,direct,aoa_out,393,22,0.526,24.693,22.469,2.223,-0.557,5.414,-8.071,-0.097,
Canada,mlp,direct,swe_in_range,746,35,0.999,27.643,26.519,1.123,-1.928,3.573,-4.363,2.323,
Canada,mlp,direct,swe_out_of_range,1,1,0.001,29.46,9.575,19.885,,,-29.46,-9.575,참고(n<10)
Canada,mlp,direct,x25_all_in_range,4,4,0.005,27.813,36.116,-8.304,-10.733,-5.408,-7.382,-7.986,참고(n<10)
Canada,mlp,direct,x25_any_out_of_range,743,32,0.995,27.644,26.443,1.202,-1.673,3.837,-4.38,2.363,
Canada,mlp,stefan+lam0.25,all,747,36,1.0,26.898,26.504,0.394,-0.31,1.241,0.707,2.307,
Canada,mlp,stefan+lam0.25,complete,746,35,0.999,26.915,26.522,0.393,-0.324,1.134,0.717,2.312,
Canada,mlp,stefan+lam0.25,sg_missing,1,1,0.001,6.573,0.956,5.617,,,-6.573,-0.956,참고(n<10)
Canada,mlp,stefan+lam0.25,aoa_in,354,23,0.474,30.498,30.361,0.137,-0.4,0.64,4.11,4.977,
