assignment,method,fold,n,n_blocks,has_bigblock,rmse,bias,E_fold
random_2,stefan,3,1551,9,False,10.517751647208454,4.358050010932839,1.6373702282524298
random_2,stefan,4,2554,27,False,17.801936732640925,4.330607799661735,1.644057719383473
random_2,stefan,5,1495,8,False,13.97608766520121,-2.559515638228478,1.6090505276927276
random_2,stefan_ridge075,0,1466,26,False,20.346707859469923,-4.292092771930424,1.614810824532665
random_2,stefan_ridge075,1,4837,3,True,9.422241447350299,1.4975514971674435,1.578498353137662
random_2,stefan_ridge075,2,1703,1,False,11.620246944251425,1.342347912094436,1.6189576021822036
random_2,stefan_ridge075,3,1551,9,False,9.553660462945576,-0.010945813709761016,1.6373702282524298
random_2,stefan_ridge075,4,2554,27,False,17.04659503121189,5.170895762542015,1.644057719383473
random_2,stefan_ridge075,5,1495,8,False,14.995420241613326,-3.1999346315288966,1.6090505276927276
random_2,ridge,0,1466,26,False,20.149450769976006,-5.068759393162926,1.614810824532665
random_2,ridge,1,4837,3,True,10.439995358032611,4.706997126849498,1.578498353137662
random_2,ridge,2,1703,1,False,11.803295720155367,1.5916480773294364,1.6189576021822036
random_2,ridge,3,1551,9,False,9.733628091083059,-1.479520029013376,1.6373702282524298
random_2,ridge,4,2554,27,False,17.04749857680307,5.33104791291831,1.644057719383473
random_2,ridge,5,1495,8,False,15.773236490442134,-3.3944707103832603,1.6090505276927276
random_2,catboost_lo,0,1466,26,False,20.974837249405006,-4.827551925922198,1.614810824532665
random_2,catboost_lo,1,4837,3,True,16.300945002054807,12.546110377082586,1.578498353137662
random_2,catboost_lo,2,1703,1,False,12.134139683759583,-4.5335815608158,1.6189576021822036
random_2,catboost_lo,3,1551,9,False,10.457973448934519,-3.64594233295063,1.6373702282524298
random_2,catboost_lo,4,2554,27,False,17.21323768207086,1.8612737056307915,1.644057719383473
random_2,catboost_lo,5,1495,8,False,14.786139352205286,-1.719550852385284,1.6090505276927276
random_3,stefan,0,2252,17,False,13.696703312537505,6.826667456353576,1.6598370849976627
random_3,stefan,1,2091,15,False,14.568283458555623,1.1419009147359787,1.6242495670007266
random_3,stefan,2,1834,8,False,17.09202701001121,1.9927143788782105,1.625050422929406
random_3,stefan,3,1024,20,False,24.171006992610035,-3.7401159075168735,1.610450448301424
random_3,stefan,4,1382,11,False,11.231742357581687,-2.8329785907116394,1.608579797201136
random_3,stefan,5,5023,3,True,11.576330845486776,-5.242709035225723,1.5773915044281734
random_3,stefan_ridge075,0,2252,17,False,11.075114110078639,1.0838720472184384,1.6598370849976627
random_3,stefan_ridge075,1,2091,15,False,14.427238650298055,0.47177742250693083,1.6242495670007266
random_3,stefan_ridge075,2,1834,8,False,17.169104139773985,4.482086548690427,1.625050422929406
random_3,stefan_ridge075,3,1024,20,False,22.34353009908004,-5.080600186360962,1.610450448301424
random_3,stefan_ridge075,4,1382,11,False,10.902120055625096,-0.4402778493610753,1.608579797201136
random_3,stefan_ridge075,5,5023,3,True,10.060955058498067,1.06022301898213,1.5773915044281734
random_3,ridge,0,2252,17,False,11.147655349843998,-0.9003534874367628,1.6598370849976627
random_3,ridge,1,2091,15,False,14.666152646917933,0.2400306694561795,1.6242495670007266
random_3,ridge,2,1834,8,False,17.30223477599649,5.08849040963938,1.625050422929406
random_3,ridge,3,1024,20,False,22.043101617508654,-5.246731744736289,1.610450448301424
random_3,ridge,4,1382,11,False,11.19641595352709,0.37757462836346756,1.608579797201136
random_3,ridge,5,5023,3,True,10.776603099689455,4.05514386549238,1.5773915044281734
random_3,catboost_lo,0,2252,17,False,11.692675454059323,-0.8413540404491031,1.6598370849976627
random_3,catboost_lo,1,2091,15,False,14.868378279273706,-3.680634355234725,1.6242495670007266
random_3,catboost_lo,2,1834,8,False,16.510817562381067,2.738184798640967,1.625050422929406
random_3,catboost_lo,3,1024,20,False,22.33707036561166,-4.9533421316079,1.610450448301424
random_3,catboost_lo,4,1382,11,False,10.94644760519869,-0.9657811091211547,1.608579797201136
random_3,catboost_lo,5,5023,3,True,15.958661251793224,11.476011899508697,1.5773915044281734
random_4,stefan,0,1733,20,False,13.57853667069146,3.927740702456353,1.6378740108711687
random_4,stefan,1,1871,10,False,15.67092936554087,-3.4136673826238395,1.6048315551730274
random_4,stefan,2,2247,5,False,14.988687348926907,0.6492383351598597,1.6194751188786984
random_4,stefan,3,764,10,False,16.81543387661844,2.2296724185071297,1.6223438479331562
random_4,stefan,4,2136,17,False,17.711640159451868,3.5019774901922034,1.6356874054779582
random_4,stefan,5,4855,12,True,11.527158311512895,-5.126228897983328,1.5812889342706515
