H,label,cond,target,split,delta_rmse,delta_per_seed,delta_ensemble,delta_blockeq,delta_cap100,n_cells,n_blocks,block_majority,n_splits,delta_split_mean,delta_split_sd,family,family_tag
X-pseudo,"deploy: 유사라벨 stefan_k2 − stefan (직접 catboost_lo, r=10)",deploy,Lena,0,0.42006405379545225,0.42006405379545225,0.4200806070687513,-0.18133662311334695,0.055973712457091075,2958,20,0.45,1,0.42006405379545225,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_k2 − stefan (직접 catboost_lo, r=10)",deploy,Canada,0,0.640936360957569,0.640936360957569,0.6409402706141343,-0.5715925289210387,0.5977234688016679,747,36,0.5833333333333334,1,0.640936360957569,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_W,0,0.37377301595054274,0.37377301595054274,0.3737720997470433,0.5009578923121296,0.37377301595054274,28,18,0.3888888888888889,1,0.37377301595054274,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_C,0,2.1285499207008036,2.1285499207008036,2.128550099488912,1.9393469297253365,2.1285499207008036,7,6,0.16666666666666666,1,2.1285499207008036,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_E,0,0.35894515083492706,0.35894515083492706,0.35894747602129584,0.10833689279227225,0.35894515083492706,27,19,0.3684210526315789,1,0.35894515083492706,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_k2 − stefan (직접 catboost_lo, r=10)",deploy,Greenland,0,-4.0256398518880205,-4.0256398518880205,-4.025639851888023,-4.0256398518880205,-4.0256398518880205,1,1,1.0,1,-4.0256398518880205,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_soil − stefan (직접 catboost_lo, r=10)",deploy,Lena,0,-0.3923289863477433,-0.3923289863477433,-0.3923146613529518,-0.3051620947697475,-0.01241271977946686,2958,20,0.6,1,-0.3923289863477433,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_soil − stefan (직접 catboost_lo, r=10)",deploy,Canada,0,-0.2595101301290619,-0.2595101301290619,-0.25949810385893457,-0.3134365874829186,-0.18506006667491684,747,36,0.5833333333333334,1,-0.2595101301290619,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_soil − stefan (직접 catboost_lo, r=10)",deploy,Russia_W,0,1.9913619186254792,1.9913619186254792,1.9913583755298845,2.1011743440328345,1.9913619186254792,28,18,0.16666666666666666,1,1.9913619186254792,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_soil − stefan (직접 catboost_lo, r=10)",deploy,Russia_C,0,2.2082406295184,2.2082406295184,2.208240297161325,-0.6746817095197623,2.2082406295184,7,6,0.6666666666666666,1,2.2082406295184,,exploratory,augment_direct
