Event,macro,lat,lon,n_years,year_min,year_max,alt_mean,alt_sd,alt_min,alt_max,alt_sd_detr,se_multiyear,cv
CALM_R38A,Russia_E,68.7,161.55,15,2003,2017,134.66666666666666,10.314114231525283,115.0,151.0,10.689477383854028,2.663092843305222,0.07658995716479171
CALM_R38B,Russia_E,68.7167,161.5333,11,2003,2016,152.63636363636363,7.01815826656434,139.0,167.0,6.946930913710449,2.116054335411361,0.04597959555223809
CALM_R38C,Russia_E,68.74,161.3928,20,2003,2022,73.2,8.599877600108169,51.0,84.0,6.333676286717624,1.9229910912019617,0.11748466666814437
CALM_R4,Russia_W,70.1167,75.5833,3,1992,1995,89.0,6.244997998398398,82.0,94.0,4.008918628686122,3.6055512754639896,0.07016851683593706
CALM_R40,Russia_W,67.4814,86.4347,16,2008,2024,84.3125,16.168771340663668,62.0,108.0,4.924807048635363,4.042192835165917,0.1917719358418226
CALM_R41,Russia_W,65.5397,-171.6302,15,2010,2024,55.266666666666666,5.548058433447902,47.0,66.0,4.11417855731434,1.4325025277686223,0.10038706453765806
CALM_R42,Russia_C,62.0133,129.6568,17,2008,2024,202.94117647058823,3.13190413796652,197.0,208.0,1.9138299553615512,0.7595983276555875,0.015432571114617636
CALM_R43,Russia_C,62.3162,129.4995,17,2008,2024,124.05882352941177,3.716022541564,119.0,133.0,3.8266138890942685,0.9012678497673273,0.029953714180458984
CALM_R44,Russia_W,67.7724,34.182,6,2011,2016,161.66666666666666,2.065591117977289,160.0,165.0,2.102153091248995,0.8432740427115678,0.012776852276148179
CALM_R45,Russia_E,64.6333,176.9667,15,2010,2024,46.06666666666667,2.987274597992211,40.0,50.0,3.093654145294198,0.771310984571486,0.06484677130229112
CALM_R46,Russia_C,56.7604,118.189,6,2013,2022,53.0,8.48528137423857,41.0,61.0,8.191630102630262,3.4641016151377544,0.16009964857053904
CALM_R47,Russia_C,56.9063,118.2807,5,2013,2018,50.0,5.70087712549569,42.0,55.0,6.5295986794541125,2.5495097567963922,0.11401754250991379
CALM_R5,Russia_W,70.2833,68.9,29,1993,2022,93.82758620689656,7.928560333724982,76.0,114.0,6.417631893203547,1.4722966924282197,0.08450137805146067
CALM_R50a,Russia_W,66.3132,76.9035,17,2008,2024,92.76470588235294,22.06107831613379,65.0,125.0,12.288199078844205,5.350597418379001,0.2378175848917403
CALM_R50b,Russia_W,67.4779,76.6953,16,2008,2024,95.3125,14.902880034856794,65.0,125.0,6.286123230460969,3.7257200087141986,0.15635808561161227
CALM_R51,Russia_C,72.3698,126.4806,22,2002,2024,51.72727272727273,5.556478999731653,42.0,63.0,4.92341723329193,1.1846453031576942,0.10741875043417959
CALM_R52,Russia_W,67.0656,62.9251,13,2012,2024,57.15384615384615,5.669305569558379,48.0,68.0,3.266011813639531,1.5723824559474087,0.09919377174193664
CALM_R53,Russia_W,66.7235,66.0805,7,2016,2023,107.57142857142857,16.52127056107916,90.0,134.0,16.517557632559484,6.244453321061144,0.15358418848280758
CALM_R54a,Russia_W,70.8893,78.4171,7,2016,2022,100.71428571428571,7.364651739090942,90.0,113.0,7.436877224826421,2.7835767134619966,0.07312420166473275
CALM_R54b,Russia_W,70.8906,78.4308,7,2016,2022,65.14285714285714,4.810702354423641,60.0,73.0,4.930951806120815,1.81827458019398,0.07384850105474887
CALM_R54c,Russia_W,70.8699,78.5478,6,2017,2022,70.33333333333333,4.082482904638631,66.0,77.0,3.7308239866078092,1.6666666666666672,0.058044780634672485
CALM_R55,Russia_W,73.3269,70.0853,15,2009,2023,55.733333333333334,6.250333324444918,41.0,68.0,6.266523944287008,1.6138291249213605,0.11214712902712173
CALM_R55a,Russia_W,73.3286,70.0883,15,2009,2023,111.8,13.006591735402038,90.0,131.0,9.423827061418065,3.3582875454754078,0.11633802983364971
CALM_R56,Russia_W,66.7092,66.5678,9,2013,2021,84.11111111111111,15.711814379985245,64.0,111.0,12.36395811694067,5.237271459995082,0.18679832155860926
CALM_R57,Russia_W,66.6967,66.3589,9,2013,2021,48.55555555555556,6.424778422465461,37.0,57.0,5.90184259632068,2.141592807488487,0.13231809108052436
CALM_R58,Russia_W,68.2253,69.1444,5,2017,2021,92.6,9.316651759081692,82.0,102.0,3.346640106136918,4.166533331199931,0.10061179005487789
CALM_R59,Russia_W,66.5439,66.7313,3,2021,2023,65.33333333333333,6.506407098647713,59.0,72.0,0.408248290463863,3.7564758898615493,0.09958786375481195
