cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,seed,n_splits,n_cells,n_blocks,coverage,cov_ci_lo,cov_ci_hi,width_mean,width_median,interval_score,is_ci_lo,is_ci_hi,is_width_part,is_under_part,is_over_part,rmse_point,n_seed,family_tag,note
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.75,1,1,3.0,3.0,0.6666666666666666,,,18.805076956748962,18.74961805343628,762.2751262351579,,,18.805076956748962,0.0,743.470049278409,69.44803235021075,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.75,2,1,3.0,3.0,0.6666666666666666,,,23.552607476711273,24.893904626369476,787.0653003021783,,,23.552607476711273,0.0,763.5126928254671,78.87553963775595,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.75,mean,1,3.0,3.0,0.5555555555555555,,,49.26114640633265,26.68128329515457,593.3817427289513,,,49.26114640633265,41.79301562132658,502.327580701292,57.15430793174722,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,1.0,0,1,3.0,3.0,0.3333333333333333,,,140.56767304738364,48.533769607543945,314.19192579057477,,,140.56767304738364,173.62425274319116,0.0,22.277918388526228,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,1.0,1,1,3.0,3.0,0.3333333333333333,,,25.07343594233195,24.99949073791504,749.6191196472818,,,25.07343594233195,3.794613944159598,720.7510697607901,69.30994621235622,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,1.0,2,1,3.0,3.0,0.6666666666666666,,,31.403476635615032,33.1918728351593,778.878071125816,,,31.403476635615032,0.0,747.474594490201,81.89917952020615,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,1.0,mean,1,3.0,3.0,0.4444444444444444,,,65.68152854177687,35.57504439353943,614.2297055212242,,,65.68152854177687,59.139622229116924,489.4085547503303,57.829014707029536,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.25,0,1,3.0,3.0,0.3333333333333333,,,3.513006250063578,2.750379800796509,888.7460862164404,,,3.513006250063578,13.523478507995605,871.7096014583813,76.04499906606877,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.25,1,1,3.0,3.0,0.0,,,10.895621692140898,4.221914768218994,741.0379479906334,,,10.895621692140898,18.1010877754953,712.0412385229971,74.79221127329706,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.25,2,1,3.0,3.0,0.6666666666666666,,,4.29435267051061,5.954840123653412,874.7399541899271,,,4.29435267051061,0.0,870.4456015194164,75.47573080834263,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.25,mean,1,3.0,3.0,0.3333333333333333,,,6.234326870905028,4.309044897556305,834.841329465667,,,6.234326870905028,10.541522094496969,818.0654805002649,75.43764704923615,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.5,0,1,3.0,3.0,0.3333333333333333,,,7.026012500127156,5.500759601593018,960.7123169665243,,,7.026012500127156,21.894089380900066,931.7922150854971,81.9172969833265,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.5,1,1,3.0,3.0,0.0,,,21.791243384281795,8.443829536437988,689.8054789236558,,,21.791243384281795,55.558746324645135,612.4554892147288,79.50233470424403,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.5,2,1,3.0,3.0,0.6666666666666666,,,8.58870534102122,11.909680247306824,937.8529205485887,,,8.58870534102122,0.0,929.2642152075674,80.67730452783915,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.5,mean,1,3.0,3.0,0.3333333333333333,,,12.468653741810057,8.61808979511261,862.7902388129229,,,12.468653741810057,25.817611901848398,824.5039731692644,80.6989787384699,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.75,0,1,3.0,3.0,0.0,,,10.539018750190735,8.251139402389526,1037.3327583900466,,,10.539018750190735,34.918910927242685,991.8748287126131,87.90931251140896,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.75,1,1,3.0,3.0,0.0,,,32.68686507642269,12.665744304656982,638.5730098566783,,,32.68686507642269,93.01640487379495,512.8697399064606,84.41256605961375,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.75,2,1,3.0,3.0,0.6666666666666666,,,12.88305801153183,17.864520370960236,1000.9658869072504,,,12.88305801153183,0.0,988.0828288957185,85.91837297349797,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.75,mean,1,3.0,3.0,0.2222222222222222,,,18.702980612715084,12.927134692668915,892.2905517179917,,,18.702980612715084,42.645105267012546,830.9424658382641,86.08008384817356,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,1.0,0,1,3.0,3.0,0.0,,,14.052025000254313,11.001519203186035,1119.0202055008583,,,14.052025000254313,53.01073816087509,1051.957442339729,93.99815384612907,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,1.0,1,1,3.0,3.0,0.0,,,43.58248676856359,16.887659072875977,587.3405407897008,,,43.58248676856359,130.4740634229448,413.28399059819236,89.4899721934169,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,1.0,2,1,3.0,3.0,0.6666666666666666,,,17.17741068204244,23.819360494613647,1064.078853265912,,,17.17741068204244,0.0,1046.9014425838695,91.19212678000022,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,1.0,mean,1,3.0,3.0,0.2222222222222222,,,24.937307483620113,17.23617959022522,923.4798665188237,,,24.937307483620113,61.16160052793996,837.3809585072636,91.56008427318208,3.0,residual,
covonly,Russia_E,alaska,x25,stefan_cci,none,0.0,cfm,0,0.25,0,1,12.0,9.0,0.16666666666666666,0.0,0.3333333333333333,7.385717809200287,6.89849066734314,199.7389671204776,82.43413295418387,300.6847469027078,7.385717809200287,28.068536502173814,164.28471280910352,18.61248819196612,1.0,residual,
covonly,Russia_E,alaska,x25,stefan_cci,none,0.0,cfm,0,0.25,1,1,12.0,9.0,0.4166666666666667,0.19976190476190478,0.7777777777777778,10.634982335070768,10.771647334098816,165.2475710606091,47.93370893752132,254.6454170673783,10.634982335070768,30.88770040080077,123.72488832473755,17.731145057036382,1.0,residual,
