target,anchor,method,lam,physics_rmse,n0,n3,n3_win,n5,n5_win,n10,n10_win,n20,n20_win,n40,n40_win,n80,n80_win,rmse_allA,n_allA,n_min_mean,n_min_win90,beats_physics_all_larger_n
Russia_W,stefan,resid,0.25,39.79160944647248,39.9399058164541,39.14513582858692,0.8233333333333334,38.561818634640595,0.9533333333333334,37.39956330160515,1.0,,,,,,,40.190755145846246,15.0,3,5,True
Russia_W,stefan,resid,0.5,39.79160944647248,40.139747365024355,38.56617475547325,0.81,37.43432084261772,0.9533333333333334,35.356117405810544,1.0,,,,,,,38.81042864707112,15.0,3,5,True
Russia_W,stefan,shrink,0.0,39.79160944647248,39.79160944647248,28.750600508294156,0.975,28.139951028937205,1.0,28.056072778517215,0.985,,,,,,,28.400427283296512,15.0,3,3,True
Russia_W,stefan,shrink_k10,0.0,39.79160944647248,39.79160944647248,34.08191853575739,1.0,32.03188100988623,1.0,29.16785153496166,1.0,,,,,,,29.84606011112721,15.0,3,3,True
Russia_W,stefan_cci,both,0.25,39.15992872459303,39.366456789050474,32.35465373818074,1.0,31.304288612437993,1.0,30.113964757949233,1.0,,,,,,,30.918295882645726,15.0,3,3,True
Russia_W,stefan_cci,both,0.5,39.15992872459303,39.779379611476415,32.066560906848274,1.0,30.809938679183784,1.0,29.387417067051466,1.0,,,,,,,30.931312941881487,15.0,3,3,True
Russia_W,stefan_cci,both_ls,0.25,39.15992872459303,39.366456789050474,30.532886105107732,1.0,30.065976703889646,1.0,29.517425488799187,1.0,,,,,,,30.294940389440352,15.0,3,3,True
Russia_W,stefan_cci,both_ls,0.5,39.15992872459303,39.779379611476415,30.024089975517562,1.0,29.444897010441927,1.0,28.766116338868258,1.0,,,,,,,30.25149887460564,15.0,3,3,True
Russia_W,stefan_cci,locscale,0.0,39.15992872459303,39.15992872459303,,,66.73681529373192,0.82,32.44633619831003,0.95,,,,,,,31.28562185529698,15.0,10,10,True
Russia_W,stefan_cci,refit,0.0,39.15992872459303,39.15992872459303,31.071411931351307,0.985,30.829160001069294,1.0,30.5555264625018,1.0,,,,,,,30.542330656591062,15.0,3,3,True
Russia_W,stefan_cci,resid,0.25,39.15992872459303,39.366456789050474,38.85851492318105,0.65,38.392680711288016,0.8233333333333334,37.60105134713461,0.97,,,,,,,39.2034535292411,15.0,3,10,True
Russia_W,stefan_cci,resid,0.5,39.15992872459303,39.779379611476415,38.70976681084366,0.6366666666666667,37.763339240399524,0.8066666666666666,36.23870473951443,0.9566666666666667,,,,,,,38.610749556458885,15.0,3,10,True
Russia_W,stefan_cci,shrink,0.0,39.15992872459303,39.15992872459303,32.633303595748835,1.0,31.911875357170747,1.0,31.12716582976027,1.0,,,,,,,31.104279061978332,15.0,3,3,True
Russia_W,stefan_cci,shrink_k10,0.0,39.15992872459303,39.15992872459303,36.50815280467262,1.0,35.466988796404216,1.0,33.767778425077445,1.0,,,,,,,33.59455444679085,15.0,3,3,True
